Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members,Top GO Terms,Top GO Term p-values,Top GO FDRs,Top GO Term Fold Enrichments
1,30,0.2882,125.3,22650.0,0.005488,1.0,A1BG ACR ANHX C8orf33 CHAMP1 DIP2A FAM110C FRG2B MZF1 OR4F21 OR4F5 PARD6G PCMTD2 PGBD2 RABL2B S100B SLC27A5 TUBB8 ZBTB45 ZNF10 ZNF132 ZNF140 ZNF26 ZNF324 ZNF324B ZNF497 ZNF672 ZNF84 ZNF891 ZSCAN22,"regulation of transcription by RNA polymerase II|regulation of transcription, DNA-templated|regulation of nucleic acid-templated transcription|regulation of RNA biosynthetic process|cellular process",4.967e-06|0.0001423|0.0001427|0.000145|0.000197,0.07835|1|0.7504|0.5718|0.6215,3.717|2.775|2.774|2.77|0.5763
2,113,0.2009,1271.0,90640.0,0.0138,1.0,A1CF ACTA2 ADIRF AFAP1L2 AGAP5 AGAP6 AGAP9 ANK3 ANKRD22 ANTXRL ANXA7 ANXA8L1 AP3M1 BLNK CALHM3 CEP57L1 CFAP58 CFAP70 COL13A1 COMTD1 CTNNA3 CXCL12 CYP17A1 CYP26A1 CYP26C1 CYP2C19 CYP2C8 CYP2C9 DDX50 DKK1 DNAJB12 DUPD1 DUSP13 DYDC1 DYDC2 FAM213A FFAR4 GOLGA7B GPRIN2 GSTO1 GSTO2 HABP2 HKDC1 HOGA1 IDE IFIT1 IFIT1B IFIT2 IFIT3 IFIT5 ITPRIP KCNIP2 LDB3 LIPA LIPF LIPJ LIPK LIPM LIPN LRIT1 LRRC18 LRRC20 LRRTM3 MAT1A MCU MINPP1 MORN4 MYOZ1 NODAL NUDT13 NUTM2A NUTM2B OPN4 OR13A1 PALD1 PAPSS2 PAX2 PLA2G12B PNLIP PNLIPRP1 PPP3CB PSD PTPN20 RASGEF1A RET SAMD8 SEMA4G SFTPA1 SFTPA2 SFXN2 SHLD2 SORCS1 SORCS3 SRGN SVIL SYNPO2L SYT15 TACR2 TLX1 TMEM72 UNC5B USP54 WASHC2C ZFYVE27 ZNF22 ZNF239 ZNF32 ZNF33B ZNF365 ZNF37A ZNF485 ZNF488 ZNF503,lipid catabolic process|omega-hydroxylase P450 pathway|cellular response to type I interferon|response to type I interferon|xenobiotic metabolic process,1.242e-06|3.358e-05|5.283e-05|7.681e-05|7.953e-05,0.01959|0.2649|0.2778|0.3029|0.2509,6.595|60.75|13.21|12.15|8.819
3,75,0.2233,619.8,59110.0,0.01035,1.0,A2M ACRBP ANO2 APOLD1 B4GALNT3 BCL2L14 C12orf71 C1S C3AR1 CLEC12A CLEC12B CLEC1B CLEC2A CLEC2B CLEC4A CLEC4C CLEC4D CLEC4E CLEC6A CLEC7A CLEC9A CLSTN3 ERC1 FAM234B GALNT8 GNB3 GPR162 GPRC5A GPRC5D GYS2 IAPP KCNA1 KCNA5 KCNA6 KCNJ8 KLRB1 KLRC1 KLRC2 KLRC4 KLRF1 KLRG1 LTBR MANSC4 NRIP2 PIANP PKP2 PRB1 PRB4 PRH2 PZP RERG RERGL SLC2A3 SLC6A12 SLC6A13 SLCO1B1 SLCO1B3 SLCO1B7 SLCO1C1 STYK1 TAS2R10 TAS2R13 TAS2R14 TAS2R19 TAS2R20 TAS2R30 TAS2R31 TAS2R43 TAS2R50 TAS2R7 TAS2R8 TAS2R9 TMEM52B TSPAN11 WNT5B,detection of chemical stimulus involved in sensory perception of bitter taste|sensory perception of bitter taste|detection of chemical stimulus involved in sensory perception of taste|sensory perception of taste|detection of chemical stimulus,1.222e-17|4.177e-17|5.256e-17|1.214e-16|5.388e-07,1.928e-13|3.295e-13|2.764e-13|4.789e-13|0.0017,82.8|72.7|70.97|47.82|6.23
4,27,0.3365,118.1,17710.0,0.006605,1.0,ADAT2 ALKBH8 CTU1 CTU2 DPH3 DUS2 EIF1 EIF2A EIF2AK4 ELP5 ELP6 METTL1 MOCS3 NR2C2AP NSUN2 PDAP1 PPP1R15B PUS3 RNF25 SSB THUMPD1 TRMT1 TRMT61A URM1 WDR4 XPOT ZPR1,tRNA modification|tRNA processing|RNA modification|tRNA metabolic process|ncRNA processing,1.602e-39|1.724e-36|1.926e-34|6.264e-34|1.056e-26,2.528e-35|1.36e-32|1.013e-30|2.47e-30|3.333e-23,152.6|104|80.76|75.86|31.78
5,7,0.8653,18.17,4680.0,0.003856,0.9992989999999999,AVEN DIS3L FOCAD HBS1L PELO SKIV2L TTC37,RNA catabolic process|nucleobase-containing compound catabolic process|heterocycle catabolic process|cellular nitrogen compound catabolic process|aromatic compound catabolic process,5.311e-09|4.237e-08|7.236e-08|7.762e-08|9.317e-08,8.377e-05|0.0003342|0.0003804|0.0003061|0.0002939,59.8|39.23|35.19|34.7|33.43
6,126,0.2386,1879.0,96590.0,0.019030000000000002,1.0,ADORA2A AIFM3 ANKRD54 APOBEC3A APOBEC3B APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOL1 APOL2 APOL5 ARHGAP8 BCL2L13 C22orf15 C22orf23 C22orf31 C22orf46 CACNA1I CASTOR1 CBY1 CCDC116 CCDC157 CKLF CLDN5 COMT CRYBA4 CRYBB1 CRYBB2 CRYBB3 CYTH4 DESI1 DGCR6 DGCR6L DMC1 DRICH1 EMID1 FAM19A5 FOXRED2 GAL3ST1 GGT1 GGTLC2 GP1BB GRK3 GSTT2B GUCD1 HIC2 HMOX1 HORMAD2 HPS1 IGLL1 IGLL5 ISX KCTD17 KDELR3 KLHL22 KREMEN1 LMF2 LRRC75B LZTR1 MCHR1 MGAT3 MICALL1 MIF MMP11 MPPE1 MPST MTFP1 NCF4 NIPSNAP1 OSBP2 P2RX6 PARVB PLA2G3 PNPLA3 PNPLA5 PVALB RAC2 RASD2 RFPL2 RFPL3 RGL4 RIMBP3 RNF185 RNF215 RSPH14 SDF2L1 SEC14L2 SEC14L3 SEC14L4 SEC14L6 SELENOM SEPT3 SEPT5 SERHL2 SGSM1 SH3BP1 SIRPA SLC5A1 SLC5A4 SLC7A4 SPECC1L SULT4A1 SUSD2 SYNGR1 TANGO2 TBC1D10A TCN2 TEX33 THAP7 TNRC6B TOP3B TPST2 TRIOBP TSSK2 TST TTC28 TUBA8 TXNRD2 UPB1 USP18 VPREB1 WBP2NL YPEL1 ZDHHC8 ZNF74,DNA cytosine deamination|pyrimidine nucleoside catabolic process|cytidine metabolic process|cytidine catabolic process|cytidine deamination,3.937e-10|5.553e-10|9.034e-10|9.034e-10|9.034e-10,6.21e-06|4.379e-06|4.75e-06|3.562e-06|2.85e-06,95.79|48.59|79.83|79.83|79.83
7,128,0.3734,3035.0,88760.0,0.03297,1.0,AARS2 AURKAIP1 DAP3 DARS2 DDX28 EARS2 ERAL1 FARS2 GADD45GIP1 GATB GATC GFM1 GFM2 GTPBP10 GTPBP8 HARS2 KIAA0391 LARS2 LRPPRC MALSU1 MARS2 METTL17 MIPEP MRM2 MRM3 MRPL10 MRPL11 MRPL12 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL19 MRPL2 MRPL20 MRPL21 MRPL22 MRPL23 MRPL27 MRPL28 MRPL3 MRPL30 MRPL32 MRPL33 MRPL34 MRPL35 MRPL36 MRPL37 MRPL38 MRPL39 MRPL4 MRPL40 MRPL41 MRPL42 MRPL43 MRPL44 MRPL45 MRPL46 MRPL47 MRPL48 MRPL49 MRPL50 MRPL51 MRPL53 MRPL54 MRPL55 MRPL57 MRPL58 MRPL9 MRPS10 MRPS11 MRPS12 MRPS14 MRPS16 MRPS17 MRPS18A MRPS18B MRPS18C MRPS2 MRPS21 MRPS22 MRPS23 MRPS24 MRPS25 MRPS26 MRPS27 MRPS28 MRPS30 MRPS31 MRPS33 MRPS34 MRPS35 MRPS5 MRPS6 MRPS7 MRPS9 MTERF3 MTERF4 MTG1 MTG2 MTPAP NARS2 NGRN NSUN4 PNPT1 POLG POLG2 POLRMT PTCD1 PTCD3 QRSL1 RARS2 RPUSD4 SARS2 SLC25A26 SSBP1 SUPV3L1 TARS2 TFAM TFB1M TFB2M TRMT10C TRUB2 TWNK VARS2 WARS2,mitochondrial gene expression|mitochondrial translation|mitochondrial translational elongation|mitochondrial translational termination|translation,1.836e-175|6.665e-161|3.51e-139|6.609e-139|2.896e-137,2.896e-171|5.257e-157|1.845e-135|2.606e-135|9.136e-134,113.2|129.9|142.2|140.6|40.84
8,19,0.5355,91.57,12560.0,0.007215000000000001,1.0,AAAS AHCTF1 CDCA3 CLCC1 KPNA2 NDC1 NUP133 NUP153 NUP160 NUP188 NUP35 NUP37 NUP43 NUP50 NUP98 POM121 POM121C SENP2 TMEM201,intracellular transport of virus|tRNA-containing ribonucleoprotein complex export from nucleus|tRNA export from nucleus|transport of virus|multi-organism localization,4.954e-32|1.948e-31|1.948e-31|2.25e-31|3.37e-31,7.815e-28|1.536e-27|1.024e-27|8.874e-28|1.063e-27,281|414.5|414.5|248.8|240.9
9,11,0.311,17.11,8967.0,0.0018989999999999999,0.999969,AACS ABCB9 ADAMTS3 CDC42EP4 DISP1 DNASE2 FAM78B GNG4 PIK3C2B SRRM5 TRAFD1,response to oleic acid|positive regulation of vascular endothelial growth factor signaling pathway|vascular endothelial growth factor production|cellular response to testosterone stimulus|diaphragm development,0.003731|0.003731|0.004263|0.004795|0.004795,1|1|1|1|1,312|312|267.5|234|234
10,36,0.2632,165.8,28960.0,0.005679,1.0,AADAC AADACL2 ARHGEF26 CPA3 CPB1 ERICH6 GPR171 GPR87 HTR3D HTR3E IGSF10 KLHL24 METTL15 MFSD1 MLF1 NPHP3 P2RY12 P2RY13 P2RY14 PAQR9 PLD1 PLSCR1 PLSCR2 PLSCR4 PQLC2L SCHIP1 SELENOT SERP1 SERPINI1 SERPINI2 TFDP2 TM4SF1 TM4SF18 TM4SF4 TRIM59 VEPH1,G protein-coupled purinergic nucleotide receptor signaling pathway|purinergic nucleotide receptor signaling pathway|plasma membrane phospholipid scrambling|plasma membrane organization|phospholipid translocation,1.384e-10|2.967e-08|8.436e-06|2.937e-05|8.507e-05,2.182e-06|0.000234|0.04436|0.1158|0.2684,204.3|60.86|85.81|23.35|37.31
